fecha,mes,anio,linea,tipo_pago,afluencia
2022-01-02,Enero,2022,Línea 9,Boleto,3084
2022-01-02,Enero,2022,Línea 9,Prepago,985
2022-01-02,Enero,2022,Línea 9,Gratuidad,2362
2022-01-02,Enero,2022,Línea 10,Boleto,0
2022-01-02,Enero,2022,Línea 10,Prepago,0
2022-01-02,Enero,2022,Línea 10,Gratuidad,0
2022-01-03,Enero,2022,Línea 1,Boleto,39565
2022-01-03,Enero,2022,Línea 1,Prepago,15573
2022-01-03,Enero,2022,Línea 1,Gratuidad,22950
2022-01-03,Enero,2022,Línea 1 Nochebús,Boleto,826
2022-01-03,Enero,2022,Línea 1 Nochebús,Prepago,247
2022-01-03,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-03,Enero,2022,Línea 2,Boleto,8950
2022-01-03,Enero,2022,Línea 2,Prepago,3751
2022-01-03,Enero,2022,Línea 2,Gratuidad,6049
2022-01-03,Enero,2022,Línea 3,Boleto,6913
2022-01-03,Enero,2022,Línea 3,Prepago,3304
2022-01-03,Enero,2022,Línea 3,Gratuidad,5287
2022-01-03,Enero,2022,Línea 4,Boleto,7503
2022-01-03,Enero,2022,Línea 4,Prepago,0
2022-01-03,Enero,2022,Línea 4,Gratuidad,2632
2022-01-03,Enero,2022,Línea 5,Boleto,4766
2022-01-03,Enero,2022,Línea 5,Prepago,0
2022-01-03,Enero,2022,Línea 5,Gratuidad,1725
2022-01-03,Enero,2022,Línea 6,Boleto,3629
2022-01-03,Enero,2022,Línea 6,Prepago,0
2022-01-03,Enero,2022,Línea 6,Gratuidad,1153
2022-01-03,Enero,2022,Línea 7,Boleto,18323
2022-01-03,Enero,2022,Línea 7,Prepago,1678
2022-01-03,Enero,2022,Línea 7,Gratuidad,5352
2022-01-03,Enero,2022,Línea 8,Boleto,0
2022-01-03,Enero,2022,Línea 8,Prepago,0
2022-01-03,Enero,2022,Línea 8,Gratuidad,0
2022-01-03,Enero,2022,Línea 9,Boleto,4381
2022-01-03,Enero,2022,Línea 9,Prepago,1900
2022-01-03,Enero,2022,Línea 9,Gratuidad,3646
2022-01-03,Enero,2022,Línea 10,Boleto,0
2022-01-03,Enero,2022,Línea 10,Prepago,0
2022-01-03,Enero,2022,Línea 10,Gratuidad,0
2022-01-04,Enero,2022,Línea 1,Boleto,40019
2022-01-04,Enero,2022,Línea 1,Prepago,15782
2022-01-04,Enero,2022,Línea 1,Gratuidad,23226
2022-01-04,Enero,2022,Línea 1 Nochebús,Boleto,422
2022-01-04,Enero,2022,Línea 1 Nochebús,Prepago,134
2022-01-04,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-04,Enero,2022,Línea 2,Boleto,9627
2022-01-04,Enero,2022,Línea 2,Prepago,4123
2022-01-04,Enero,2022,Línea 2,Gratuidad,6548
2022-01-04,Enero,2022,Línea 3,Boleto,7317
2022-01-04,Enero,2022,Línea 3,Prepago,3864
2022-01-04,Enero,2022,Línea 3,Gratuidad,5786
2022-01-04,Enero,2022,Línea 4,Boleto,7702
2022-01-04,Enero,2022,Línea 4,Prepago,0
2022-01-04,Enero,2022,Línea 4,Gratuidad,2702
2022-01-04,Enero,2022,Línea 5,Boleto,4999
2022-01-04,Enero,2022,Línea 5,Prepago,0
2022-01-04,Enero,2022,Línea 5,Gratuidad,1810
2022-01-04,Enero,2022,Línea 6,Boleto,3863
2022-01-04,Enero,2022,Línea 6,Prepago,0
2022-01-04,Enero,2022,Línea 6,Gratuidad,1227
2022-01-04,Enero,2022,Línea 7,Boleto,19007
2022-01-04,Enero,2022,Línea 7,Prepago,1668
2022-01-04,Enero,2022,Línea 7,Gratuidad,5532
2022-01-04,Enero,2022,Línea 8,Boleto,0
2022-01-04,Enero,2022,Línea 8,Prepago,0
2022-01-04,Enero,2022,Línea 8,Gratuidad,0
2022-01-04,Enero,2022,Línea 9,Boleto,4868
2022-01-04,Enero,2022,Línea 9,Prepago,2041
2022-01-04,Enero,2022,Línea 9,Gratuidad,4011
2022-01-04,Enero,2022,Línea 10,Boleto,0
2022-01-04,Enero,2022,Línea 10,Prepago,0
2022-01-04,Enero,2022,Línea 10,Gratuidad,0
2022-01-05,Enero,2022,Línea 1,Boleto,39350
2022-01-05,Enero,2022,Línea 1,Prepago,16639
2022-01-05,Enero,2022,Línea 1,Gratuidad,23304
2022-01-05,Enero,2022,Línea 1 Nochebús,Boleto,366
2022-01-05,Enero,2022,Línea 1 Nochebús,Prepago,185
2022-01-05,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-05,Enero,2022,Línea 2,Boleto,10738
2022-01-05,Enero,2022,Línea 2,Prepago,4105
2022-01-05,Enero,2022,Línea 2,Gratuidad,7069
2022-01-05,Enero,2022,Línea 3,Boleto,7189
2022-01-05,Enero,2022,Línea 3,Prepago,3357
2022-01-05,Enero,2022,Línea 3,Gratuidad,5457
2022-01-05,Enero,2022,Línea 4,Boleto,7302
2022-01-05,Enero,2022,Línea 4,Prepago,0
2022-01-05,Enero,2022,Línea 4,Gratuidad,2562
2022-01-05,Enero,2022,Línea 5,Boleto,5050
2022-01-05,Enero,2022,Línea 5,Prepago,0
2022-01-05,Enero,2022,Línea 5,Gratuidad,1828
2022-01-05,Enero,2022,Línea 6,Boleto,5672
2022-01-05,Enero,2022,Línea 6,Prepago,0
2022-01-05,Enero,2022,Línea 6,Gratuidad,1802
2022-01-05,Enero,2022,Línea 7,Boleto,20011
2022-01-05,Enero,2022,Línea 7,Prepago,1870
2022-01-05,Enero,2022,Línea 7,Gratuidad,5855
2022-01-05,Enero,2022,Línea 8,Boleto,0
2022-01-05,Enero,2022,Línea 8,Prepago,0
2022-01-05,Enero,2022,Línea 8,Gratuidad,0
2022-01-05,Enero,2022,Línea 9,Boleto,4861
2022-01-05,Enero,2022,Línea 9,Prepago,2024
2022-01-05,Enero,2022,Línea 9,Gratuidad,3997
2022-01-05,Enero,2022,Línea 10,Boleto,0
2022-01-05,Enero,2022,Línea 10,Prepago,0
2022-01-05,Enero,2022,Línea 10,Gratuidad,0
2022-01-06,Enero,2022,Línea 1,Boleto,32795
2022-01-06,Enero,2022,Línea 1,Prepago,14541
2022-01-06,Enero,2022,Línea 1,Gratuidad,19703
2022-01-06,Enero,2022,Línea 1 Nochebús,Boleto,843
2022-01-06,Enero,2022,Línea 1 Nochebús,Prepago,248
2022-01-06,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-06,Enero,2022,Línea 2,Boleto,8755
2022-01-06,Enero,2022,Línea 2,Prepago,3821
2022-01-06,Enero,2022,Línea 2,Gratuidad,5989
2022-01-06,Enero,2022,Línea 3,Boleto,6534
2022-01-06,Enero,2022,Línea 3,Prepago,3287
2022-01-06,Enero,2022,Línea 3,Gratuidad,5082
2022-01-06,Enero,2022,Línea 4,Boleto,7718
2022-01-06,Enero,2022,Línea 4,Prepago,0
2022-01-06,Enero,2022,Línea 4,Gratuidad,2707
2022-01-06,Enero,2022,Línea 5,Boleto,3615
2022-01-06,Enero,2022,Línea 5,Prepago,0
2022-01-06,Enero,2022,Línea 5,Gratuidad,1309
2022-01-06,Enero,2022,Línea 6,Boleto,3969
2022-01-06,Enero,2022,Línea 6,Prepago,0
2022-01-06,Enero,2022,Línea 6,Gratuidad,1261
2022-01-06,Enero,2022,Línea 7,Boleto,16271
2022-01-06,Enero,2022,Línea 7,Prepago,1506
2022-01-06,Enero,2022,Línea 7,Gratuidad,4757
2022-01-06,Enero,2022,Línea 8,Boleto,0
2022-01-06,Enero,2022,Línea 8,Prepago,0
2022-01-06,Enero,2022,Línea 8,Gratuidad,0
2022-01-06,Enero,2022,Línea 9,Boleto,3793
2022-01-06,Enero,2022,Línea 9,Prepago,1613
2022-01-06,Enero,2022,Línea 9,Gratuidad,3138
2022-01-06,Enero,2022,Línea 10,Boleto,0
2022-01-06,Enero,2022,Línea 10,Prepago,0
2022-01-06,Enero,2022,Línea 10,Gratuidad,0
2022-01-07,Enero,2022,Línea 1,Boleto,35890
2022-01-07,Enero,2022,Línea 1,Prepago,14920
2022-01-07,Enero,2022,Línea 1,Gratuidad,21149
2022-01-07,Enero,2022,Línea 1 Nochebús,Boleto,413
2022-01-07,Enero,2022,Línea 1 Nochebús,Prepago,153
2022-01-07,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-07,Enero,2022,Línea 2,Boleto,10248
2022-01-07,Enero,2022,Línea 2,Prepago,4036
2022-01-07,Enero,2022,Línea 2,Gratuidad,6803
2022-01-07,Enero,2022,Línea 3,Boleto,5616
2022-01-07,Enero,2022,Línea 3,Prepago,3479
2022-01-07,Enero,2022,Línea 3,Gratuidad,4706
2022-01-07,Enero,2022,Línea 4,Boleto,6963
2022-01-07,Enero,2022,Línea 4,Prepago,0
2022-01-07,Enero,2022,Línea 4,Gratuidad,2443
2022-01-07,Enero,2022,Línea 5,Boleto,4013
2022-01-07,Enero,2022,Línea 5,Prepago,0
2022-01-07,Enero,2022,Línea 5,Gratuidad,1453
2022-01-07,Enero,2022,Línea 6,Boleto,4892
2022-01-07,Enero,2022,Línea 6,Prepago,0
2022-01-07,Enero,2022,Línea 6,Gratuidad,1554
2022-01-07,Enero,2022,Línea 7,Boleto,18891
2022-01-07,Enero,2022,Línea 7,Prepago,1700
2022-01-07,Enero,2022,Línea 7,Gratuidad,5510
2022-01-07,Enero,2022,Línea 8,Boleto,0
2022-01-07,Enero,2022,Línea 8,Prepago,0
2022-01-07,Enero,2022,Línea 8,Gratuidad,0
2022-01-07,Enero,2022,Línea 9,Boleto,4049
2022-01-07,Enero,2022,Línea 9,Prepago,1772
2022-01-07,Enero,2022,Línea 9,Gratuidad,3379
2022-01-07,Enero,2022,Línea 10,Boleto,0
2022-01-07,Enero,2022,Línea 10,Prepago,0
2022-01-07,Enero,2022,Línea 10,Gratuidad,0
2022-01-08,Enero,2022,Línea 1,Boleto,21537
2022-01-08,Enero,2022,Línea 1,Prepago,11963
2022-01-08,Enero,2022,Línea 1,Gratuidad,13944
2022-01-08,Enero,2022,Línea 1 Nochebús,Boleto,530
2022-01-08,Enero,2022,Línea 1 Nochebús,Prepago,196
2022-01-08,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-08,Enero,2022,Línea 2,Boleto,7309
2022-01-08,Enero,2022,Línea 2,Prepago,2744
2022-01-08,Enero,2022,Línea 2,Gratuidad,4787
2022-01-08,Enero,2022,Línea 3,Boleto,5117
2022-01-08,Enero,2022,Línea 3,Prepago,2373
2022-01-08,Enero,2022,Línea 3,Gratuidad,3876
2022-01-08,Enero,2022,Línea 4,Boleto,6474
2022-01-08,Enero,2022,Línea 4,Prepago,0
2022-01-08,Enero,2022,Línea 4,Gratuidad,2271
2022-01-08,Enero,2022,Línea 5,Boleto,3752
2022-01-08,Enero,2022,Línea 5,Prepago,0
2022-01-08,Enero,2022,Línea 5,Gratuidad,1358
2022-01-08,Enero,2022,Línea 6,Boleto,3836
2022-01-08,Enero,2022,Línea 6,Prepago,0
2022-01-08,Enero,2022,Línea 6,Gratuidad,1219
2022-01-08,Enero,2022,Línea 7,Boleto,13104
2022-01-08,Enero,2022,Línea 7,Prepago,1336
2022-01-08,Enero,2022,Línea 7,Gratuidad,3864
2022-01-08,Enero,2022,Línea 8,Boleto,0
2022-01-08,Enero,2022,Línea 8,Prepago,0
2022-01-08,Enero,2022,Línea 8,Gratuidad,0
2022-01-08,Enero,2022,Línea 9,Boleto,2336
2022-01-08,Enero,2022,Línea 9,Prepago,1026
2022-01-08,Enero,2022,Línea 9,Gratuidad,1952
2022-01-08,Enero,2022,Línea 10,Boleto,0
2022-01-08,Enero,2022,Línea 10,Prepago,0
2022-01-08,Enero,2022,Línea 10,Gratuidad,0
2022-01-09,Enero,2022,Línea 1,Boleto,19603
2022-01-09,Enero,2022,Línea 1,Prepago,7499
2022-01-09,Enero,2022,Línea 1,Gratuidad,11281
2022-01-09,Enero,2022,Línea 1 Nochebús,Boleto,567
2022-01-09,Enero,2022,Línea 1 Nochebús,Prepago,153
2022-01-09,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-09,Enero,2022,Línea 2,Boleto,5860
2022-01-09,Enero,2022,Línea 2,Prepago,1697
2022-01-09,Enero,2022,Línea 2,Gratuidad,3599
2022-01-09,Enero,2022,Línea 3,Boleto,2955
2022-01-09,Enero,2022,Línea 3,Prepago,1617
2022-01-09,Enero,2022,Línea 3,Gratuidad,2366
2022-01-09,Enero,2022,Línea 4,Boleto,5519
2022-01-09,Enero,2022,Línea 4,Prepago,0
2022-01-09,Enero,2022,Línea 4,Gratuidad,1936
2022-01-09,Enero,2022,Línea 5,Boleto,3273
2022-01-09,Enero,2022,Línea 5,Prepago,0
2022-01-09,Enero,2022,Línea 5,Gratuidad,1185
2022-01-09,Enero,2022,Línea 6,Boleto,1980
2022-01-09,Enero,2022,Línea 6,Prepago,0
2022-01-09,Enero,2022,Línea 6,Gratuidad,629
2022-01-09,Enero,2022,Línea 7,Boleto,13153
2022-01-09,Enero,2022,Línea 7,Prepago,1228
2022-01-09,Enero,2022,Línea 7,Gratuidad,3848
2022-01-09,Enero,2022,Línea 8,Boleto,0
2022-01-09,Enero,2022,Línea 8,Prepago,0
2022-01-09,Enero,2022,Línea 8,Gratuidad,0
2022-01-09,Enero,2022,Línea 9,Boleto,2890
2022-01-09,Enero,2022,Línea 9,Prepago,943
2022-01-09,Enero,2022,Línea 9,Gratuidad,2225
2022-01-09,Enero,2022,Línea 10,Boleto,0
2022-01-09,Enero,2022,Línea 10,Prepago,0
2022-01-09,Enero,2022,Línea 10,Gratuidad,0
2022-01-10,Enero,2022,Línea 1,Boleto,33699
2022-01-10,Enero,2022,Línea 1,Prepago,14647
2022-01-10,Enero,2022,Línea 1,Gratuidad,20123
2022-01-10,Enero,2022,Línea 1 Nochebús,Boleto,460
2022-01-10,Enero,2022,Línea 1 Nochebús,Prepago,165
2022-01-10,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-10,Enero,2022,Línea 2,Boleto,9252
2022-01-10,Enero,2022,Línea 2,Prepago,3736
2022-01-10,Enero,2022,Línea 2,Gratuidad,6185
2022-01-10,Enero,2022,Línea 3,Boleto,6686
2022-01-10,Enero,2022,Línea 3,Prepago,3261
2022-01-10,Enero,2022,Línea 3,Gratuidad,5147
2022-01-10,Enero,2022,Línea 4,Boleto,9217
2022-01-10,Enero,2022,Línea 4,Prepago,0
2022-01-10,Enero,2022,Línea 4,Gratuidad,3233
2022-01-10,Enero,2022,Línea 5,Boleto,4700
2022-01-10,Enero,2022,Línea 5,Prepago,0
2022-01-10,Enero,2022,Línea 5,Gratuidad,1701
2022-01-10,Enero,2022,Línea 6,Boleto,3509
2022-01-10,Enero,2022,Línea 6,Prepago,0
2022-01-10,Enero,2022,Línea 6,Gratuidad,1115
2022-01-10,Enero,2022,Línea 7,Boleto,18694
2022-01-10,Enero,2022,Línea 7,Prepago,1852
2022-01-10,Enero,2022,Línea 7,Gratuidad,5498
2022-01-10,Enero,2022,Línea 8,Boleto,0
2022-01-10,Enero,2022,Línea 8,Prepago,0
2022-01-10,Enero,2022,Línea 8,Gratuidad,0
2022-01-10,Enero,2022,Línea 9,Boleto,4126
2022-01-10,Enero,2022,Línea 9,Prepago,1783
2022-01-10,Enero,2022,Línea 9,Gratuidad,3430
2022-01-10,Enero,2022,Línea 10,Boleto,0
2022-01-10,Enero,2022,Línea 10,Prepago,0
2022-01-10,Enero,2022,Línea 10,Gratuidad,0
2022-01-11,Enero,2022,Línea 1,Boleto,32160
2022-01-11,Enero,2022,Línea 1,Prepago,15030
2022-01-11,Enero,2022,Línea 1,Gratuidad,19642
2022-01-11,Enero,2022,Línea 1 Nochebús,Boleto,281
2022-01-11,Enero,2022,Línea 1 Nochebús,Prepago,102
2022-01-11,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-11,Enero,2022,Línea 2,Boleto,9173
2022-01-11,Enero,2022,Línea 2,Prepago,4126
2022-01-11,Enero,2022,Línea 2,Gratuidad,6333
2022-01-11,Enero,2022,Línea 3,Boleto,5924
2022-01-11,Enero,2022,Línea 3,Prepago,3117
2022-01-11,Enero,2022,Línea 3,Gratuidad,4678
2022-01-11,Enero,2022,Línea 4,Boleto,7279
2022-01-11,Enero,2022,Línea 4,Prepago,0
2022-01-11,Enero,2022,Línea 4,Gratuidad,2554
2022-01-11,Enero,2022,Línea 5,Boleto,4513
2022-01-11,Enero,2022,Línea 5,Prepago,0
2022-01-11,Enero,2022,Línea 5,Gratuidad,1634
2022-01-11,Enero,2022,Línea 6,Boleto,3749
2022-01-11,Enero,2022,Línea 6,Prepago,0
2022-01-11,Enero,2022,Línea 6,Gratuidad,1191
2022-01-11,Enero,2022,Línea 7,Boleto,17994
2022-01-11,Enero,2022,Línea 7,Prepago,2299
2022-01-11,Enero,2022,Línea 7,Gratuidad,5430
2022-01-11,Enero,2022,Línea 8,Boleto,0
2022-01-11,Enero,2022,Línea 8,Prepago,0
2022-01-11,Enero,2022,Línea 8,Gratuidad,0
2022-01-11,Enero,2022,Línea 9,Boleto,3688
2022-01-11,Enero,2022,Línea 9,Prepago,1751
2022-01-11,Enero,2022,Línea 9,Gratuidad,3157
2022-01-11,Enero,2022,Línea 10,Boleto,0
2022-01-11,Enero,2022,Línea 10,Prepago,0
2022-01-11,Enero,2022,Línea 10,Gratuidad,0
2022-01-12,Enero,2022,Línea 1,Boleto,30101
2022-01-12,Enero,2022,Línea 1,Prepago,14674
2022-01-12,Enero,2022,Línea 1,Gratuidad,18637
2022-01-12,Enero,2022,Línea 1 Nochebús,Boleto,327
2022-01-12,Enero,2022,Línea 1 Nochebús,Prepago,119
2022-01-12,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-12,Enero,2022,Línea 2,Boleto,9377
2022-01-12,Enero,2022,Línea 2,Prepago,4098
2022-01-12,Enero,2022,Línea 2,Gratuidad,6417
2022-01-12,Enero,2022,Línea 3,Boleto,6429
2022-01-12,Enero,2022,Línea 3,Prepago,3168
2022-01-12,Enero,2022,Línea 3,Gratuidad,4966
2022-01-12,Enero,2022,Línea 4,Boleto,6257
2022-01-12,Enero,2022,Línea 4,Prepago,0
2022-01-12,Enero,2022,Línea 4,Gratuidad,2195
2022-01-12,Enero,2022,Línea 5,Boleto,3692
2022-01-12,Enero,2022,Línea 5,Prepago,0
2022-01-12,Enero,2022,Línea 5,Gratuidad,1337
2022-01-12,Enero,2022,Línea 6,Boleto,4057
2022-01-12,Enero,2022,Línea 6,Prepago,0
2022-01-12,Enero,2022,Línea 6,Gratuidad,1289
2022-01-12,Enero,2022,Línea 7,Boleto,18180
2022-01-12,Enero,2022,Línea 7,Prepago,1860
2022-01-12,Enero,2022,Línea 7,Gratuidad,5362
2022-01-12,Enero,2022,Línea 8,Boleto,0
2022-01-12,Enero,2022,Línea 8,Prepago,0
2022-01-12,Enero,2022,Línea 8,Gratuidad,0
2022-01-12,Enero,2022,Línea 9,Boleto,3808
2022-01-12,Enero,2022,Línea 9,Prepago,1783
2022-01-12,Enero,2022,Línea 9,Gratuidad,3246
2022-01-12,Enero,2022,Línea 10,Boleto,0
2022-01-12,Enero,2022,Línea 10,Prepago,0
2022-01-12,Enero,2022,Línea 10,Gratuidad,0
2022-01-13,Enero,2022,Línea 1,Boleto,31027
2022-01-13,Enero,2022,Línea 1,Prepago,14460
2022-01-13,Enero,2022,Línea 1,Gratuidad,18933
2022-01-13,Enero,2022,Línea 1 Nochebús,Boleto,365
2022-01-13,Enero,2022,Línea 1 Nochebús,Prepago,130
2022-01-13,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-13,Enero,2022,Línea 2,Boleto,9237
2022-01-13,Enero,2022,Línea 2,Prepago,3858
2022-01-13,Enero,2022,Línea 2,Gratuidad,6236
2022-01-13,Enero,2022,Línea 3,Boleto,5647
2022-01-13,Enero,2022,Línea 3,Prepago,3121
2022-01-13,Enero,2022,Línea 3,Gratuidad,4537
2022-01-13,Enero,2022,Línea 4,Boleto,7398
2022-01-13,Enero,2022,Línea 4,Prepago,0
2022-01-13,Enero,2022,Línea 4,Gratuidad,2595
2022-01-13,Enero,2022,Línea 5,Boleto,3931
2022-01-13,Enero,2022,Línea 5,Prepago,0
2022-01-13,Enero,2022,Línea 5,Gratuidad,1423
2022-01-13,Enero,2022,Línea 6,Boleto,4094
2022-01-13,Enero,2022,Línea 6,Prepago,0
2022-01-13,Enero,2022,Línea 6,Gratuidad,1301
2022-01-13,Enero,2022,Línea 7,Boleto,16371
2022-01-13,Enero,2022,Línea 7,Prepago,1909
2022-01-13,Enero,2022,Línea 7,Gratuidad,4892
2022-01-13,Enero,2022,Línea 8,Boleto,0
2022-01-13,Enero,2022,Línea 8,Prepago,0
2022-01-13,Enero,2022,Línea 8,Gratuidad,0
2022-01-13,Enero,2022,Línea 9,Boleto,3612
2022-01-13,Enero,2022,Línea 9,Prepago,1661
2022-01-13,Enero,2022,Línea 9,Gratuidad,3061
2022-01-13,Enero,2022,Línea 10,Boleto,0
2022-01-13,Enero,2022,Línea 10,Prepago,0
2022-01-13,Enero,2022,Línea 10,Gratuidad,0
2022-01-14,Enero,2022,Línea 1,Boleto,33272
2022-01-14,Enero,2022,Línea 1,Prepago,15101
2022-01-14,Enero,2022,Línea 1,Gratuidad,20134
2022-01-14,Enero,2022,Línea 1 Nochebús,Boleto,437
2022-01-14,Enero,2022,Línea 1 Nochebús,Prepago,170
2022-01-14,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-14,Enero,2022,Línea 2,Boleto,9507
2022-01-14,Enero,2022,Línea 2,Prepago,3728
2022-01-14,Enero,2022,Línea 2,Gratuidad,6303
2022-01-14,Enero,2022,Línea 3,Boleto,5870
2022-01-14,Enero,2022,Línea 3,Prepago,3059
2022-01-14,Enero,2022,Línea 3,Gratuidad,4620
2022-01-14,Enero,2022,Línea 4,Boleto,8175
2022-01-14,Enero,2022,Línea 4,Prepago,0
2022-01-14,Enero,2022,Línea 4,Gratuidad,2868
2022-01-14,Enero,2022,Línea 5,Boleto,4221
2022-01-14,Enero,2022,Línea 5,Prepago,0
2022-01-14,Enero,2022,Línea 5,Gratuidad,1528
2022-01-14,Enero,2022,Línea 6,Boleto,3771
2022-01-14,Enero,2022,Línea 6,Prepago,0
2022-01-14,Enero,2022,Línea 6,Gratuidad,1198
2022-01-14,Enero,2022,Línea 7,Boleto,18154
2022-01-14,Enero,2022,Línea 7,Prepago,1971
2022-01-14,Enero,2022,Línea 7,Gratuidad,5385
2022-01-14,Enero,2022,Línea 8,Boleto,0
2022-01-14,Enero,2022,Línea 8,Prepago,0
2022-01-14,Enero,2022,Línea 8,Gratuidad,0
2022-01-14,Enero,2022,Línea 9,Boleto,3712
2022-01-14,Enero,2022,Línea 9,Prepago,1689
2022-01-14,Enero,2022,Línea 9,Gratuidad,3135
2022-01-14,Enero,2022,Línea 10,Boleto,0
2022-01-14,Enero,2022,Línea 10,Prepago,0
2022-01-14,Enero,2022,Línea 10,Gratuidad,0
2022-01-15,Enero,2022,Línea 1,Boleto,22584
2022-01-15,Enero,2022,Línea 1,Prepago,11979
2022-01-15,Enero,2022,Línea 1,Gratuidad,14386
2022-01-15,Enero,2022,Línea 1 Nochebús,Boleto,467
2022-01-15,Enero,2022,Línea 1 Nochebús,Prepago,233
2022-01-15,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-15,Enero,2022,Línea 2,Boleto,7140
2022-01-15,Enero,2022,Línea 2,Prepago,2883
2022-01-15,Enero,2022,Línea 2,Gratuidad,4773
2022-01-15,Enero,2022,Línea 3,Boleto,4435
2022-01-15,Enero,2022,Línea 3,Prepago,1861
2022-01-15,Enero,2022,Línea 3,Gratuidad,3258
2022-01-15,Enero,2022,Línea 4,Boleto,4749
2022-01-15,Enero,2022,Línea 4,Prepago,0
2022-01-15,Enero,2022,Línea 4,Gratuidad,1666
2022-01-15,Enero,2022,Línea 5,Boleto,3154
2022-01-15,Enero,2022,Línea 5,Prepago,0
2022-01-15,Enero,2022,Línea 5,Gratuidad,1142
2022-01-15,Enero,2022,Línea 6,Boleto,3970
2022-01-15,Enero,2022,Línea 6,Prepago,0
2022-01-15,Enero,2022,Línea 6,Gratuidad,1261
