fecha,mes,anio,tipo_pago,afluencia
2022-01-25,Enero,2022,Prepago,48722
2022-01-25,Enero,2022,Gratuidad,5450
2022-01-26,Enero,2022,Prepago,43326
2022-01-26,Enero,2022,Gratuidad,4421
2022-01-27,Enero,2022,Prepago,48280
2022-01-27,Enero,2022,Gratuidad,4971
2022-01-28,Enero,2022,Prepago,51101
2022-01-28,Enero,2022,Gratuidad,5112
2022-01-29,Enero,2022,Prepago,35978
2022-01-29,Enero,2022,Gratuidad,3318
2022-01-30,Enero,2022,Prepago,22080
2022-01-30,Enero,2022,Gratuidad,2522
2022-01-31,Enero,2022,Prepago,48561
2022-01-31,Enero,2022,Gratuidad,5694
2022-02-01,Febrero,2022,Prepago,51201
2022-02-01,Febrero,2022,Gratuidad,5246
2022-02-02,Febrero,2022,Prepago,53477
2022-02-02,Febrero,2022,Gratuidad,5604
2022-02-03,Febrero,2022,Prepago,54251
2022-02-03,Febrero,2022,Gratuidad,5462
2022-02-04,Febrero,2022,Prepago,55387
2022-02-04,Febrero,2022,Gratuidad,5690
2022-02-05,Febrero,2022,Prepago,44184
2022-02-05,Febrero,2022,Gratuidad,3319
2022-02-06,Febrero,2022,Prepago,22633
2022-02-06,Febrero,2022,Gratuidad,2568
2022-02-07,Febrero,2022,Prepago,28736
2022-02-07,Febrero,2022,Gratuidad,3346
2022-02-08,Febrero,2022,Prepago,57823
2022-02-08,Febrero,2022,Gratuidad,6206
2022-02-09,Febrero,2022,Prepago,58724
2022-02-09,Febrero,2022,Gratuidad,6000
2022-02-10,Febrero,2022,Prepago,57601
2022-02-10,Febrero,2022,Gratuidad,6029
2022-02-11,Febrero,2022,Prepago,59123
2022-02-11,Febrero,2022,Gratuidad,5199
2022-02-12,Febrero,2022,Prepago,48760
2022-02-12,Febrero,2022,Gratuidad,4180
2022-02-13,Febrero,2022,Prepago,24696
2022-02-13,Febrero,2022,Gratuidad,2705
2022-02-14,Febrero,2022,Prepago,60724
2022-02-14,Febrero,2022,Gratuidad,6102
2022-02-15,Febrero,2022,Prepago,61593
2022-02-15,Febrero,2022,Gratuidad,5911
2022-02-16,Febrero,2022,Prepago,62074
2022-02-16,Febrero,2022,Gratuidad,6278
2022-02-17,Febrero,2022,Prepago,61161
2022-02-17,Febrero,2022,Gratuidad,5532
2022-02-18,Febrero,2022,Prepago,55746
2022-02-18,Febrero,2022,Gratuidad,5938
2022-02-19,Febrero,2022,Prepago,43381
2022-02-19,Febrero,2022,Gratuidad,4223
2022-02-20,Febrero,2022,Prepago,34800
2022-02-20,Febrero,2022,Gratuidad,2780
2022-02-21,Febrero,2022,Prepago,62737
2022-02-21,Febrero,2022,Gratuidad,5723
2022-02-22,Febrero,2022,Prepago,64808
2022-02-22,Febrero,2022,Gratuidad,6019
2022-02-23,Febrero,2022,Prepago,64437
2022-02-23,Febrero,2022,Gratuidad,6093
2022-02-24,Febrero,2022,Prepago,71290
2022-02-24,Febrero,2022,Gratuidad,5904
2022-02-25,Febrero,2022,Prepago,67252
2022-02-25,Febrero,2022,Gratuidad,5870
2022-02-26,Febrero,2022,Prepago,47387
2022-02-26,Febrero,2022,Gratuidad,4241
