fecha,mes,anio,servicio,tipo_pago,afluencia
2022-01-04,Enero,2022,Expreso,Boleto,47758
2022-01-04,Enero,2022,Expreso,Prepago,5535
2022-01-04,Enero,2022,Expreso,Gratuidad,8309
2022-01-04,Enero,2022,Nochebús,Boleto,724
2022-01-04,Enero,2022,Nochebús,Prepago,35
2022-01-04,Enero,2022,Nochebús,Gratuidad,55
2022-01-04,Enero,2022,Ordinario,Boleto,98961
2022-01-04,Enero,2022,Ordinario,Prepago,3004
2022-01-04,Enero,2022,Ordinario,Gratuidad,17162
2022-01-04,Enero,2022,S/Metro,Boleto,46174
2022-01-04,Enero,2022,S/Metro,Prepago,1322
2022-01-04,Enero,2022,S/Metro,Gratuidad,8001
2022-01-05,Enero,2022,Servicios Temporales,Boleto,0
2022-01-05,Enero,2022,Servicios Temporales,Prepago,0
2022-01-05,Enero,2022,Servicios Temporales,Gratuidad,0
2022-01-05,Enero,2022,Atenea,Boleto,17494
2022-01-05,Enero,2022,Atenea,Prepago,0
2022-01-05,Enero,2022,Atenea,Gratuidad,3024
2022-01-05,Enero,2022,Ecoatenea,Boleto,1695
2022-01-05,Enero,2022,Ecoatenea,Prepago,0
2022-01-05,Enero,2022,Ecoatenea,Gratuidad,293
2022-01-05,Enero,2022,Ecobús,Boleto,25214
2022-01-05,Enero,2022,Ecobús,Prepago,2036
2022-01-05,Enero,2022,Ecobús,Gratuidad,4394
2022-01-05,Enero,2022,Expdirecto,Boleto,1882
2022-01-05,Enero,2022,Expdirecto,Prepago,315
2022-01-05,Enero,2022,Expdirecto,Gratuidad,330
2022-01-05,Enero,2022,Expreso,Boleto,47776
2022-01-05,Enero,2022,Expreso,Prepago,4982
2022-01-05,Enero,2022,Expreso,Gratuidad,8305
2022-01-05,Enero,2022,Nochebús,Boleto,761
2022-01-05,Enero,2022,Nochebús,Prepago,29
2022-01-05,Enero,2022,Nochebús,Gratuidad,57
2022-01-05,Enero,2022,Ordinario,Boleto,102096
2022-01-05,Enero,2022,Ordinario,Prepago,2910
2022-01-05,Enero,2022,Ordinario,Gratuidad,17709
2022-01-05,Enero,2022,S/Metro,Boleto,42821
2022-01-05,Enero,2022,S/Metro,Prepago,1358
2022-01-05,Enero,2022,S/Metro,Gratuidad,7425
2022-01-06,Enero,2022,Servicios Temporales,Boleto,1798
2022-01-06,Enero,2022,Servicios Temporales,Prepago,0
2022-01-06,Enero,2022,Servicios Temporales,Gratuidad,311
2022-01-06,Enero,2022,Atenea,Boleto,16117
2022-01-06,Enero,2022,Atenea,Prepago,0
2022-01-06,Enero,2022,Atenea,Gratuidad,2786
2022-01-06,Enero,2022,Ecoatenea,Boleto,2033
2022-01-06,Enero,2022,Ecoatenea,Prepago,0
2022-01-06,Enero,2022,Ecoatenea,Gratuidad,351
2022-01-06,Enero,2022,Ecobús,Boleto,24212
2022-01-06,Enero,2022,Ecobús,Prepago,1811
2022-01-06,Enero,2022,Ecobús,Gratuidad,4212
2022-01-06,Enero,2022,Expdirecto,Boleto,1549
2022-01-06,Enero,2022,Expdirecto,Prepago,264
2022-01-06,Enero,2022,Expdirecto,Gratuidad,271
2022-01-06,Enero,2022,Expreso,Boleto,45172
2022-01-06,Enero,2022,Expreso,Prepago,4534
2022-01-06,Enero,2022,Expreso,Gratuidad,7851
2022-01-06,Enero,2022,Nochebús,Boleto,924
2022-01-06,Enero,2022,Nochebús,Prepago,47
2022-01-06,Enero,2022,Nochebús,Gratuidad,71
2022-01-06,Enero,2022,Ordinario,Boleto,89072
2022-01-06,Enero,2022,Ordinario,Prepago,2727
2022-01-06,Enero,2022,Ordinario,Gratuidad,15437
2022-01-06,Enero,2022,S/Metro,Boleto,40998
2022-01-06,Enero,2022,S/Metro,Prepago,1302
2022-01-06,Enero,2022,S/Metro,Gratuidad,7110
2022-01-07,Enero,2022,Servicios Temporales,Boleto,2065
2022-01-07,Enero,2022,Servicios Temporales,Prepago,0
2022-01-07,Enero,2022,Servicios Temporales,Gratuidad,357
2022-01-07,Enero,2022,Atenea,Boleto,15874
2022-01-07,Enero,2022,Atenea,Prepago,0
2022-01-07,Enero,2022,Atenea,Gratuidad,2744
2022-01-07,Enero,2022,Ecoatenea,Boleto,1960
2022-01-07,Enero,2022,Ecoatenea,Prepago,0
2022-01-07,Enero,2022,Ecoatenea,Gratuidad,339
2022-01-07,Enero,2022,Ecobús,Boleto,24393
2022-01-07,Enero,2022,Ecobús,Prepago,1947
2022-01-07,Enero,2022,Ecobús,Gratuidad,4244
2022-01-07,Enero,2022,Expdirecto,Boleto,1767
2022-01-07,Enero,2022,Expdirecto,Prepago,238
2022-01-07,Enero,2022,Expdirecto,Gratuidad,311
2022-01-07,Enero,2022,Expreso,Boleto,50164
2022-01-07,Enero,2022,Expreso,Prepago,4391
2022-01-07,Enero,2022,Expreso,Gratuidad,8722
2022-01-07,Enero,2022,Nochebús,Boleto,838
2022-01-07,Enero,2022,Nochebús,Prepago,37
2022-01-07,Enero,2022,Nochebús,Gratuidad,63
2022-01-07,Enero,2022,Ordinario,Boleto,90772
2022-01-07,Enero,2022,Ordinario,Prepago,2552
2022-01-07,Enero,2022,Ordinario,Gratuidad,15742
2022-01-07,Enero,2022,S/Metro,Boleto,44107
2022-01-07,Enero,2022,S/Metro,Prepago,1199
2022-01-07,Enero,2022,S/Metro,Gratuidad,7638
2022-01-08,Enero,2022,Servicios Temporales,Boleto,1583
2022-01-08,Enero,2022,Servicios Temporales,Prepago,0
2022-01-08,Enero,2022,Servicios Temporales,Gratuidad,274
2022-01-08,Enero,2022,Atenea,Boleto,7871
2022-01-08,Enero,2022,Atenea,Prepago,0
2022-01-08,Enero,2022,Atenea,Gratuidad,1361
2022-01-08,Enero,2022,Ecoatenea,Boleto,0
2022-01-08,Enero,2022,Ecoatenea,Prepago,0
2022-01-08,Enero,2022,Ecoatenea,Gratuidad,0
2022-01-08,Enero,2022,Ecobús,Boleto,17033
2022-01-08,Enero,2022,Ecobús,Prepago,724
2022-01-08,Enero,2022,Ecobús,Gratuidad,2962
